,European Union Emissions Trading System (until 2018),,,, ,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market, ,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
5/9/2016,1,1.131109091,EUR,5.96, ,,,,,, 
5/10/2016,1,1.131109091,EUR,5.65, ,,,,,, 
5/11/2016,1,1.131109091,EUR,5.72, ,,,,,, 
5/12/2016,1,1.131109091,EUR,6.04, ,,,,,, 
5/13/2016,1,1.131109091,EUR,5.75, ,,,,,, 
5/16/2016,1,1.131109091,EUR,, ,,,,,, 
5/17/2016,1,1.131109091,EUR,5.94, ,,,,,, 
5/18/2016,1,1.131109091,EUR,, ,,,,,, 
5/19/2016,1,1.131109091,EUR,5.87, ,,,,,, 
5/20/2016,1,1.131109091,EUR,5.95, ,,,,,, 
5/23/2016,1,1.131109091,EUR,5.85, ,,,,,, 
5/24/2016,1,1.131109091,EUR,5.73, ,,,,,, 
5/25/2016,1,1.131109091,EUR,, ,,,,,, 
5/26/2016,1,1.131109091,EUR,, ,,,,,, 
5/27/2016,1,1.131109091,EUR,5.9, ,,,,,, 
5/30/2016,1,1.131109091,EUR,, ,,,,,, 
5/31/2016,1,1.131109091,EUR,6, ,,,,,, 
6/1/2016,1,1.122890909,EUR,, ,,,,,, 
6/2/2016,1,1.122890909,EUR,5.96, ,,,,,, 
6/3/2016,1,1.122890909,EUR,5.96, ,,,,,, 
6/6/2016,1,1.122890909,EUR,6.05, ,,,,,, 
6/7/2016,1,1.122890909,EUR,6.14, ,,,,,, 
6/8/2016,1,1.122890909,EUR,, ,,,,,, 
6/9/2016,1,1.122890909,EUR,6.05, ,,,,,, 
6/10/2016,1,1.122890909,EUR,5.93, ,,,,,, 
6/13/2016,1,1.122890909,EUR,5.83, ,,,,,, 
6/14/2016,1,1.122890909,EUR,5.78, ,,,,,, 
6/15/2016,1,1.122890909,EUR,, ,,,,,, 
6/16/2016,1,1.122890909,EUR,5.82, ,,,,,, 
6/17/2016,1,1.122890909,EUR,5.68, ,,,,,, 
6/20/2016,1,1.122890909,EUR,5.76, ,,,,,, 
6/21/2016,1,1.122890909,EUR,5.68, ,,,,,, 
6/22/2016,1,1.122890909,EUR,5.55, ,,,,,, 
6/23/2016,1,1.122890909,EUR,5.6, ,,,,,, 
6/24/2016,1,1.122890909,EUR,4.96, ,,,,,, 
6/27/2016,1,1.122890909,EUR,4.86, ,,,,,, 
6/28/2016,1,1.122890909,EUR,4.8, ,,,,,, 
6/29/2016,1,1.122890909,EUR,, ,,,,,, 
6/30/2016,1,1.122890909,EUR,4.47, ,,,,,, 
7/1/2016,1,1.106852381,EUR,4.35, ,,,,,, 
7/4/2016,1,1.106852381,EUR,4.77, ,,,,,, 
7/5/2016,1,1.106852381,EUR,4.86, ,,,,,, 
7/6/2016,1,1.106852381,EUR,4.49, ,,,,,, 
7/7/2016,1,1.106852381,EUR,4.7, ,,,,,, 
7/8/2016,1,1.106852381,EUR,4.45, ,,,,,, 
7/11/2016,1,1.106852381,EUR,4.45, ,,,,,, 
7/12/2016,1,1.106852381,EUR,4.53, ,,,,,, 
7/13/2016,1,1.106852381,EUR,, ,,,,,, 
7/14/2016,1,1.106852381,EUR,4.79, ,,,,,, 
7/15/2016,1,1.106852381,EUR,4.65, ,,,,,, 
7/18/2016,1,1.106852381,EUR,4.97, ,,,,,, 
7/19/2016,1,1.106852381,EUR,4.75, ,,,,,, 
7/20/2016,1,1.106852381,EUR,4.65, ,,,,,, 
7/21/2016,1,1.106852381,EUR,4.7, ,,,,,, 
7/22/2016,1,1.106852381,EUR,4.6, ,,,,,, 
7/25/2016,1,1.106852381,EUR,4.56, ,,,,,, 
7/26/2016,1,1.106852381,EUR,4.51, ,,,,,, 
7/27/2016,1,1.106852381,EUR,, ,,,,,, 
7/28/2016,1,1.106852381,EUR,4.58, ,,,,,, 
7/29/2016,1,1.106852381,EUR,4.38, ,,,,,, 
8/1/2016,1,1.121173913,EUR,4.38, ,,,,,, 
8/2/2016,1,1.121173913,EUR,4.32, ,,,,,, 
8/3/2016,1,1.121173913,EUR,, ,,,,,, 
8/4/2016,1,1.121173913,EUR,4.6, ,,,,,, 
8/5/2016,1,1.121173913,EUR,4.75, ,,,,,, 
8/8/2016,1,1.121173913,EUR,4.79, ,,,,,, 
8/9/2016,1,1.121173913,EUR,4.87, ,,,,,, 
8/10/2016,1,1.121173913,EUR,, ,,,,,, 
8/11/2016,1,1.121173913,EUR,4.75, ,,,,,, 
8/12/2016,1,1.121173913,EUR,4.86, ,,,,,, 
8/15/2016,1,1.121173913,EUR,, ,,,,,, 
8/16/2016,1,1.121173913,EUR,4.78, ,,,,,, 
8/17/2016,1,1.121173913,EUR,4.65, ,,,,,, 
8/18/2016,1,1.121173913,EUR,4.55, ,,,,,, 
8/19/2016,1,1.121173913,EUR,4.71, ,,,,,, 
8/22/2016,1,1.121173913,EUR,, ,,,,,, 
8/23/2016,1,1.121173913,EUR,, ,,,,,, 
8/24/2016,1,1.121173913,EUR,, ,,,,,, 
8/25/2016,1,1.121173913,EUR,, ,,,,,, 
8/26/2016,1,1.121173913,EUR,4.71, ,,,,,, 
8/29/2016,1,1.121173913,EUR,, ,,,,,, 
8/30/2016,1,1.121173913,EUR,, ,,,,,, 
8/31/2016,1,1.121173913,EUR,, ,,,,,, 
9/1/2016,1,1.121209091,EUR,, ,,,,,, 
9/2/2016,1,1.121209091,EUR,4.32, ,,,,,, 
